date,store,item,sales
2018-01-01,1,1,54
2018-01-02,1,1,61
2018-01-03,1,1,52
2018-01-04,1,1,50
2018-01-05,1,1,49
2018-01-06,1,1,43
2018-01-07,1,1,46
2018-01-08,1,1,50
2018-01-09,1,1,63
2018-01-10,1,1,64
2018-01-11,1,1,58
2018-01-12,1,1,55
2018-01-13,1,1,48
2018-01-14,1,1,45
2018-01-15,1,1,56
2018-01-16,1,1,58
2018-01-17,1,1,67
2018-01-18,1,1,59
2018-01-19,1,1,52
2018-01-20,1,1,46
2018-01-21,1,1,55
2018-01-22,1,1,56
2018-01-23,1,1,61
2018-01-24,1,1,64
2018-01-25,1,1,63
2018-01-26,1,1,56
2018-01-27,1,1,52
2018-01-28,1,1,54
2018-01-29,1,1,67
2018-01-30,1,1,63
2018-01-31,1,1,65
2018-02-01,1,1,59
2018-02-02,1,1,58
2018-02-03,1,1,56
2018-02-04,1,1,53
2018-02-05,1,1,57
2018-02-06,1,1,63
2018-02-07,1,1,71
2018-02-08,1,1,67
2018-02-09,1,1,59
2018-02-10,1,1,50
2018-02-11,1,1,56
2018-02-12,1,1,62
2018-02-13,1,1,69
2018-02-14,1,1,73
2018-02-15,1,1,66
2018-02-16,1,1,61
2018-02-17,1,1,55
2018-02-18,1,1,57
2018-02-19,1,1,65
2018-02-20,1,1,63
2018-02-21,1,1,70
2018-02-22,1,1,65
2018-02-23,1,1,57
2018-02-24,1,1,55
2018-02-25,1,1,63
2018-02-26,1,1,60
2018-02-27,1,1,74
2018-02-28,1,1,65
2018-03-01,1,1,66
2018-03-02,1,1,62
2018-03-03,1,1,59
2018-03-04,1,1,61
2018-03-05,1,1,68
2018-03-06,1,1,70
2018-03-07,1,1,71
2018-03-08,1,1,72
2018-03-09,1,1,61
2018-03-10,1,1,52
2018-03-11,1,1,55
2018-03-12,1,1,62
2018-03-13,1,1,74
2018-03-14,1,1,74
2018-03-15,1,1,72
2018-03-16,1,1,61
2018-03-17,1,1,59
2018-03-18,1,1,62
2018-03-19,1,1,65
2018-03-20,1,1,74
2018-03-21,1,1,71
2018-03-22,1,1,68
2018-03-23,1,1,61
2018-03-24,1,1,54
2018-03-25,1,1,62
2018-03-26,1,1,65
2018-03-27,1,1,73
2018-03-28,1,1,76
2018-03-29,1,1,72
2018-03-30,1,1,66
2018-03-31,1,1,58
2018-04-01,1,1,59
2018-04-02,1,1,66
2018-04-03,1,1,66
2018-04-04,1,1,69
2018-04-05,1,1,65
2018-04-06,1,1,59
2018-04-07,1,1,60
2018-04-08,1,1,57
2018-04-09,1,1,65
2018-04-10,1,1,78
2018-04-11,1,1,73
2018-04-12,1,1,73
2018-04-13,1,1,59
2018-04-14,1,1,58
2018-04-15,1,1,56
2018-04-16,1,1,65
2018-04-17,1,1,76
2018-04-18,1,1,67
2018-04-19,1,1,71
2018-04-20,1,1,63
2018-04-21,1,1,56
2018-04-22,1,1,54
2018-04-23,1,1,66
2018-04-24,1,1,70
2018-04-25,1,1,74
2018-04-26,1,1,69
2018-04-27,1,1,68
2018-04-28,1,1,56
2018-04-29,1,1,55
2018-04-30,1,1,66
2018-05-01,1,1,72
2018-05-02,1,1,78
2018-05-03,1,1,71
2018-05-04,1,1,62
2018-05-05,1,1,62
2018-05-06,1,1,53
2018-05-07,1,1,61
2018-05-08,1,1,66
2018-05-09,1,1,70
2018-05-10,1,1,62
2018-05-11,1,1,62
2018-05-12,1,1,55
2018-05-13,1,1,51
2018-05-14,1,1,59
2018-05-15,1,1,70
2018-05-16,1,1,74
2018-05-17,1,1,74
2018-05-18,1,1,70
2018-05-19,1,1,56
2018-05-20,1,1,52
2018-05-21,1,1,53
2018-05-22,1,1,69
2018-05-23,1,1,66
2018-05-24,1,1,63
2018-05-25,1,1,55
2018-05-26,1,1,52
2018-05-27,1,1,59
2018-05-28,1,1,61
2018-05-29,1,1,66
2018-05-30,1,1,64
2018-05-31,1,1,56
2018-06-01,1,1,54
2018-06-02,1,1,51
2018-06-03,1,1,60
2018-06-04,1,1,59
2018-06-05,1,1,69
2018-06-06,1,1,64
2018-06-07,1,1,57
2018-06-08,1,1,51
2018-06-09,1,1,47
2018-06-10,1,1,60
2018-06-11,1,1,54
2018-06-12,1,1,67
2018-06-13,1,1,61
2018-06-14,1,1,64
2018-06-15,1,1,54
2018-06-16,1,1,48
2018-06-17,1,1,49
2018-06-18,1,1,53
2018-06-19,1,1,63
2018-06-20,1,1,61
2018-06-21,1,1,53
2018-06-22,1,1,46
2018-06-23,1,1,47
2018-06-24,1,1,54
2018-06-25,1,1,54
